microcanonical number of states:
    E, kcal/mol          rxn_1          rxn_2          rxn_3          rxn_4         rxn_24     rxn_eor2_1     rxn_eor2_3     rxn_eor2_6     rxn_eor2_8     rxn_eor5_1         rxn_21         rxn_31     rxn_eor5_4
             55    2.29495e+16    6.45595e+16    5.64351e+17    1.01522e+21    6.82321e+23    6.72833e+16    9.59894e+17    1.30486e+21    1.31365e+20    5.10848e+15    7.52343e+22    2.03919e+23    3.62834e+16
             56    3.79454e+16    1.18958e+17    9.24792e+17    1.57256e+21    9.59425e+23    1.21082e+17    1.63266e+18    1.96821e+21    2.12204e+20    8.79766e+15    1.15372e+23    3.11758e+23    6.76658e+16
             57     6.2202e+16    2.16064e+17    1.50304e+18    2.42028e+21    1.34424e+24    2.15061e+17    2.74843e+18    2.95284e+21    3.40121e+20    1.49952e+16    1.75855e+23    4.73819e+23    1.24285e+17
             58    1.01125e+17    3.87156e+17    2.42358e+18    3.70197e+21    1.87682e+24    3.77276e+17    4.58147e+18    4.40697e+21    5.41061e+20    2.53076e+16    2.66484e+23    7.16019e+23    2.25036e+17
             59    1.63106e+17      6.849e+17    3.87823e+18     5.6286e+21    2.61148e+24    6.54119e+17    7.56573e+18    6.54392e+21     8.5451e+20    4.23106e+16    4.01539e+23    1.07605e+24    4.02003e+17
             60    2.61075e+17    1.19702e+18    6.16048e+18    8.50853e+21     3.6216e+24    1.12153e+18    1.23823e+19     9.6694e+21    1.34017e+21    7.01009e+16    6.01732e+23    1.60846e+24    7.09052e+17
             61    4.14832e+17    2.06812e+18    9.71657e+18    1.27901e+22     5.0061e+24    1.90265e+18    2.00923e+19    1.42195e+22    2.08777e+21    1.15143e+17    8.96956e+23    2.39183e+24    1.23564e+18
             62    6.54496e+17    3.53431e+18    1.52207e+19    1.91223e+22    6.89785e+24    3.19538e+18     3.2336e+19    2.08139e+22    3.23138e+21    1.87562e+17    1.33015e+24    3.53881e+24    2.12885e+18
             63    1.02561e+18    5.97739e+18    2.36853e+19    2.84395e+22     9.4749e+24    5.31496e+18    5.16321e+19    3.03291e+22    4.97019e+21    3.03099e+17    1.96272e+24    5.21023e+24    3.62814e+18
             64     1.5966e+18    1.00094e+19     3.6622e+19    4.20813e+22    1.29751e+25    8.75951e+18    8.18211e+19    4.40005e+22    7.59847e+21    4.86064e+17     2.8821e+24    7.63465e+24    6.11982e+18
             65    2.46975e+18    1.66033e+19    5.62748e+19    6.19597e+22    1.77155e+25    1.43099e+19    1.28721e+20    6.35621e+22    1.15488e+22     7.7374e+17    4.21223e+24    1.11356e+25    1.02216e+19
             66    3.79701e+18    2.72925e+19    8.59568e+19    9.07913e+22    2.41173e+25    2.31808e+19    2.01091e+20    9.14387e+22    1.74535e+22    1.22295e+18    6.12808e+24     1.6169e+25    1.69128e+19
             67    5.80299e+18    4.44762e+19    1.30534e+20     1.3242e+23    3.27387e+25    3.72484e+19    3.12037e+20    1.31009e+23    2.62327e+22    1.91974e+18    8.87567e+24     2.3375e+25    2.77342e+19
             68     8.8179e+18    7.18792e+19    1.97115e+20    1.92263e+23     4.4318e+25    5.93901e+19    4.81053e+20    1.86962e+23    3.92185e+22    2.99366e+18    1.27996e+25    3.36489e+25    4.50902e+19
             69    1.33248e+19    1.15243e+20    2.96037e+20    2.77922e+23    5.98284e+25    9.39896e+19     7.3698e+20    2.65786e+23    5.83307e+22    4.63861e+18    1.83805e+25    4.82379e+25    7.27064e+19
             70    2.00269e+19    1.83359e+20    4.42252e+20    4.00026e+23    8.05505e+25    1.47682e+20    1.12224e+21    3.76425e+23     8.6323e+22    7.14316e+18    2.62866e+25    6.88734e+25    1.16314e+20
             71     2.9943e+19    2.89593e+20    6.57295e+20    5.73379e+23    1.08165e+26    2.30447e+20    1.69891e+21    5.31166e+23    1.27129e+23    1.09345e+19    3.74432e+25      9.795e+25     1.8467e+20
             72    4.45423e+19    4.54147e+20    9.72033e+20    8.18523e+23    1.44872e+26    3.57209e+20    2.55738e+21    7.46839e+23     1.8634e+23    1.66417e+19    5.31271e+25    1.38768e+26    2.91065e+20
             73    6.59339e+19    7.07358e+20    1.43052e+21    1.16386e+24    1.93545e+26    5.50149e+20    3.82857e+21    1.04642e+24    2.71878e+23    2.51863e+19    7.50945e+25    1.95861e+26     4.5555e+20
             74    9.71328e+19    1.09451e+21    2.09534e+21    1.64852e+24     2.5793e+26    8.42059e+20    5.70128e+21    1.46116e+24    3.94913e+23    3.79119e+19    1.05752e+26    2.75435e+26     7.0818e+20
             75     1.4243e+20    1.68284e+21    3.05509e+21    2.32624e+24    3.42899e+26    1.28115e+21    8.44638e+21    2.03349e+24    5.71138e+23    5.67676e+19    1.48387e+26    3.85959e+26    1.09375e+21
             76     2.0791e+20    2.57157e+21    4.43459e+21    3.27056e+24     4.5477e+26    1.93793e+21    1.24509e+22    2.82078e+24    8.22511e+23    8.45686e+19    2.07476e+26    5.38952e+26    1.67866e+21
             77    3.02159e+20     3.9064e+21    6.40905e+21    4.58178e+24    6.01727e+26    2.91501e+21    1.82652e+22     3.9004e+24    1.17965e+24    1.25362e+20    2.89095e+26    7.50034e+26    2.56073e+21
             78    4.37255e+20    5.90015e+21    9.22348e+21     6.3963e+24    7.94342e+26    4.36095e+21     2.6669e+22    5.37642e+24    1.68507e+24     1.8494e+20    4.01466e+26    1.04032e+27    3.88343e+21
             79    6.30119e+20    8.86208e+21    1.32192e+22    8.89899e+24    1.04625e+27    6.48985e+21    3.87617e+22    7.38841e+24    2.39764e+24    2.71558e+20    5.55681e+26    1.43827e+27    5.85597e+21
             80    9.04368e+20    1.32395e+22    1.88698e+22    1.23397e+25    1.37498e+27    9.60883e+21    5.60877e+22     1.0123e+25    3.39854e+24    3.96935e+20    7.66662e+26    1.98214e+27    8.78199e+21
             81    1.29285e+21    1.96762e+22    2.68304e+22    1.70551e+25    1.80307e+27    1.41565e+22    8.08083e+22    1.38293e+25    4.79936e+24    5.77635e+20    1.05442e+27     2.7232e+27    1.31001e+22
             82    1.84108e+21    2.90947e+22    3.80036e+22    2.34974e+25    2.35939e+27    2.07563e+22    1.15936e+23    1.88384e+25    6.75299e+24    8.36982e+20    1.44573e+27    3.72993e+27    1.94407e+22
             83    2.61192e+21    4.28109e+22    5.36293e+22    3.22726e+25    3.08086e+27    3.02912e+22    1.65654e+23    2.55898e+25     9.4682e+24     1.2077e+21    1.97628e+27    5.09366e+27     2.8706e+22
             84    3.69191e+21    6.26937e+22    7.54044e+22      4.419e+25    4.01463e+27     4.4006e+22    2.35751e+23    3.46655e+25    1.32292e+25    1.73549e+21    2.69358e+27    6.93574e+27    4.21817e+22
             85    5.19977e+21    9.13864e+22    1.05644e+23    6.03282e+25    5.22079e+27    6.36487e+22    3.34208e+23    4.68335e+25    1.84217e+25    2.48404e+21    3.66064e+27    9.41708e+27    6.16916e+22
             86    7.29784e+21    1.32613e+23    1.47498e+23      8.212e+25    6.77577e+27    9.16647e+22    4.71993e+23    6.31056e+25    2.55675e+25    3.54167e+21    4.96083e+27    1.27504e+28    8.98123e+22
             87    1.02075e+22    1.91596e+23    2.05235e+23    1.11465e+26    8.77662e+27    1.31462e+23    6.64125e+23    8.48113e+25    3.53707e+25     5.0305e+21    6.70424e+27    1.72165e+28     1.3017e+23
             88    1.42294e+22    2.75636e+23    2.84627e+23    1.50873e+26    1.13464e+28    1.87771e+23    9.31106e+23    1.13694e+26     4.8778e+25    7.11883e+21    9.03576e+27    2.31845e+28    1.87846e+23
             89    1.97714e+22    3.94898e+23    3.93451e+23    2.03655e+26    1.46406e+28    2.67138e+23    1.30083e+24    1.52032e+26    6.70595e+25    1.00378e+22    1.21458e+28    3.11392e+28    2.69937e+23
             90    2.73841e+22    5.63482e+23    5.42159e+23    2.74166e+26     1.8856e+28    3.78587e+23    1.81114e+24    2.02802e+26    9.19141e+25    1.41039e+22    1.62836e+28    4.17153e+28    3.86312e+23
             91    3.78094e+22    8.00876e+23    7.44755e+23     3.6812e+26    2.42405e+28    5.34512e+23    2.51319e+24    2.69877e+26    1.25608e+26    1.97489e+22    2.17755e+28    5.57424e+28    5.50653e+23
             92    5.20442e+22    1.13392e+24    1.01996e+24    4.92998e+26    3.11061e+28     7.5189e+23    3.47596e+24    3.58291e+26    1.71155e+26    2.75605e+22    2.90465e+28    7.43013e+28    7.81852e+23
             93    7.14239e+22    1.59948e+24     1.3927e+24     6.5857e+26     3.9845e+28    1.05388e+24    4.79219e+24     4.7457e+26    2.32558e+26    3.83356e+22    3.86502e+28    9.87984e+28    1.10592e+24
             94     9.7733e+22    2.24795e+24    1.89612e+24     8.7757e+26    5.09496e+28    1.47201e+24    6.58616e+24     6.2716e+26     3.1511e+26    5.31522e+22    5.13051e+28    1.31058e+29    1.55851e+24
             95    1.33349e+23     3.1481e+24    2.57418e+24    1.16655e+27    6.50364e+28    2.04901e+24    9.02404e+24    8.26964e+26    4.25802e+26    7.34639e+22    6.79424e+28    1.73444e+29    2.18841e+24
             96    1.81434e+23    4.39339e+24    3.48494e+24      1.547e+27    8.28767e+28    2.84268e+24    1.23273e+25    1.08803e+27    5.73843e+26    1.01226e+23    8.97656e+28     2.2901e+29    3.06207e+24
             97    2.46178e+23    6.11049e+24    4.70505e+24    2.04672e+27    1.05434e+29    3.93091e+24    1.67904e+25    1.42844e+27    7.71329e+26    1.39059e+23    1.18328e+29    3.01694e+29    4.26979e+24
             98    3.33123e+23    8.47053e+24    6.33529e+24    2.70164e+27     1.3391e+29    5.41843e+24    2.28038e+25    1.87138e+27    1.03412e+27    1.90469e+23    1.55629e+29    3.96563e+29    5.93386e+24
             99    4.49584e+23    1.17041e+25    8.50797e+24    3.55808e+27    1.69799e+29    7.44557e+24     3.0884e+25    2.44657e+27    1.38295e+27    2.60135e+23    2.04238e+29    5.20128e+29     8.2194e+24
