microcanonical number of states:
    E, kcal/mol          rxn_2          rxn_4          rxn_7          rxn_1          rxn_5
            139    1.78184e+30    2.55904e+32     1.2111e+32    1.26711e+30    2.60095e+34
            140    2.22239e+30    3.10762e+32    1.47123e+32    1.59798e+30    3.15672e+34
            141    2.76809e+30    3.76991e+32    1.78537e+32     2.0122e+30    3.82723e+34
            142    3.44315e+30    4.56873e+32    2.16437e+32    2.53003e+30    4.63534e+34
            143    4.27717e+30    5.53126e+32    2.62114e+32    3.17647e+30    5.60832e+34
            144    5.30625e+30    6.68993e+32    3.17112e+32     3.9823e+30    6.77865e+34
            145    6.57443e+30    8.08339e+32    3.83269e+32    4.98545e+30    8.18497e+34
            146     8.1353e+30    9.75763e+32    4.62771e+32    6.23253e+30    9.87326e+34
            147    1.00541e+31    1.17673e+33    5.58222e+32    7.78073e+30    1.18981e+35
            148      1.241e+31    1.41775e+33    6.72711e+32    9.70024e+30    1.43243e+35
            149    1.52991e+31    1.70653e+33     8.0991e+32    1.20769e+31    1.72286e+35
            150    1.88379e+31    2.05221e+33    9.74171e+32    1.50159e+31    2.07022e+35
            151    2.31675e+31    2.46566e+33    1.17066e+33    1.86456e+31    2.48528e+35
            152    2.84585e+31     2.9597e+33    1.40547e+33    2.31226e+31    2.98078e+35
            153     3.4917e+31    3.54954e+33    1.68585e+33    2.86377e+31    3.57178e+35
            154    4.27917e+31    4.25314e+33    2.02033e+33    3.54235e+31    4.27607e+35
            155    5.23825e+31    5.09171e+33    2.41902e+33    4.37623e+31    5.11463e+35
            156    6.40505e+31     6.0903e+33    2.89382e+33    5.39975e+31     6.1122e+35
            157    7.82302e+31    7.27843e+33    3.45878e+33    6.65454e+31    7.29789e+35
            158    9.54439e+31    8.69092e+33    4.13045e+33    8.19104e+31      8.706e+35
            159    1.16318e+32    1.03687e+34    4.92834e+33    1.00703e+32    1.03768e+36
            160    1.41606e+32    1.23601e+34    5.87535e+33    1.23662e+32    1.23578e+36
            161    1.72207e+32    1.47217e+34    6.99846e+33     1.5168e+32    1.47045e+36
            162    2.09201e+32    1.75201e+34    8.32932e+33    1.85832e+32    1.74821e+36
            163    2.53879e+32    2.08334e+34    9.90509e+33    2.27415e+32    2.07672e+36
            164     3.0778e+32    2.47535e+34    1.17694e+34    2.77993e+32    2.46495e+36
            165    3.72746e+32    2.93876e+34    1.39732e+34    3.39443e+32    2.92337e+36
            166    4.50971e+32    3.48618e+34    1.65765e+34    4.14024e+32    3.46426e+36
            167    5.45071e+32    4.13232e+34    1.96492e+34    5.04445e+32    4.10197e+36
            168    6.58156e+32    4.89444e+34    2.32733e+34    6.13959e+32    4.85323e+36
